"Autor.id";"Autor";"Autor..UF.";"Partido";"TotalConvenios";"CodImg"
"JANETE CAPIBERIBE_AP";"JANETE CAPIBERIBE";"AP";"PSB";"37087798.1";"73926"
"JEAN WYLLYS_RJ";"JEAN WYLLYS";"RJ";"PSOL";"2595429";"160672"
"JEFFERSON CAMPOS_SP";"JEFFERSON CAMPOS";"SP";"PSD";"34069177.43";"74273"
"JERÔNIMO GOERGEN_RS";"JERÔNIMO GOERGEN";"RS";"PP";"32193006.39";"160570"
"JHC_AL";"JHC";"AL";"PSB";"900000";"178842"
"JHONATAN DE JESUS_RR";"JHONATAN DE JESUS";"RR";"PRB";"30331516.17";"160531"
"JOAQUIM PASSARINHO_PA";"JOAQUIM PASSARINHO";"PA";"PSD";"440000";"178910"
"JORGE CÔRTE REAL_PE";"JORGE CÔRTE REAL";"PE";"PTB";"85483616.83";"160572"
"JORGE TADEU MUDALEN_SP";"JORGE TADEU MUDALEN";"SP";"DEM";"32092153.76";"73535"
"JORGINHO MELLO_SC";"JORGINHO MELLO";"SC";"PR";"30577790.12";"160509"
"JOSE STÉDILE_RS";"JOSE STÉDILE";"RS";"PSB";"15646660.93";"160607"
"JOSUÉ BENGTSON_PA";"JOSUÉ BENGTSON";"PA";"PTB";"12643520.96";"74351"
"JOSÉ AIRTON CIRILO_CE";"JOSÉ AIRTON CIRILO";"CE";"PT";"35403134.69";"141464"
"JOSÉ CARLOS ALELUIA_BA";"JOSÉ CARLOS ALELUIA";"BA";"DEM";"2709200";"74553"
"JOSÉ CARLOS ARAÚJO_BA";"JOSÉ CARLOS ARAÚJO";"BA";"PSD";"26947081.63";"74140"
"JOSÉ GUIMARÃES_CE";"JOSÉ GUIMARÃES";"CE";"PT";"49314232";"141470"
"JOSÉ MENTOR_SP";"JOSÉ MENTOR";"SP";"PT";"23537344.09";"74275"
"JOSÉ NUNES_BA";"JOSÉ NUNES";"BA";"PSD";"28872200.97";"160619"
"JOSÉ OTÁVIO GERMANO_RS";"JOSÉ OTÁVIO GERMANO";"RS";"PP";"49588595.6";"74395"
"JOSÉ PRIANTE_PA";"JOSÉ PRIANTE";"PA";"PMDB";"19069095.35";"74079"
"JOSÉ REINALDO_MA";"JOSÉ REINALDO";"MA";"PSB";"951000";"73714"
"JOSÉ ROCHA_BA";"JOSÉ ROCHA";"BA";"PR";"28789585.46";"74554"
"JOVAIR ARANTES_GO";"JOVAIR ARANTES";"GO";"PTB";"37452431.26";"73666"
"JOÃO ARRUDA_PR";"JOÃO ARRUDA";"PR";"PMDB";"31182822.67";"160573"
"JOÃO CAMPOS_GO";"JOÃO CAMPOS";"GO";"PSDB";"20139400.09";"74366"
"JOÃO CARLOS BACELAR_BA";"JOÃO CARLOS BACELAR";"BA";"PR";"53541486.61";"141458"
"JOÃO DANIEL_SE";"JOÃO DANIEL";"SE";"PT";"2222300";"178970"
"JOÃO DERLY_RS";"JOÃO DERLY";"RS";"REDE";"1400333.92";"178965"
"JOÃO RODRIGUES_SC";"JOÃO RODRIGUES";"SC";"PSD";"3005000";"160571"
"JULIO LOPES_RJ";"JULIO LOPES";"RJ";"PP";"3523595.3";"74253"
"JUTAHY JUNIOR_BA";"JUTAHY JUNIOR";"BA";"PSDB";"18465321.94";"74570"
"JÉSSICA SALES_AC";"JÉSSICA SALES";"AC";"PMDB";"3242558";"178839"
