ELCIONE BARBALHO;5310325;2321;PA=PMDB;74075;ELCIONE BARBALHO
ELI CORRÊA FILHO;5310750;23345;SP=DEM;160532;ELI CORRÊA FILHO
ELIZEU DIONIZIO;5310829;23538;MS=PSDB;181316;ELIZEU DIONIZIO
ELIZIANE GAMA;5310448;2373;MA=PPS;178883;ELIZIANE GAMA
ELMAR NASCIMENTO;5310666;23198;BA=DEM;178854;ELMAR NASCIMENTO
ENIO VERRI;5310348;23449;PR=PT;132504;ENIO VERRI
ERIKA KOKAY;5310715;23407;DF=PT;160575;ERIKA KOKAY
ERIVELTON SANTANA;5310292;23194;BA=PEN;99654;ERIVELTON SANTANA
EROS BIONDINI;5310677;23242;MG=PROS;160640;EROS BIONDINI
ESPERIDIÃO AMIN;5310346;23471;SC=PP;160649;ESPERIDIÃO AMIN
EVAIR DE MELO;5310535;23274;ES=PV;178871;EVAIR DE MELO
EVANDRO GUSSI;5310649;23354;SP=PV;178828;EVANDRO GUSSI
EVANDRO ROMAN;5310516;23452;PR=PSD;178930;EVANDRO ROMAN
EXPEDITO NETTO;5310550;2344;RO=PSD;178953;EXPEDITO NETTO
EZEQUIEL TEIXEIRA;5310620;23303;RJ=PTN;178941;EZEQUIEL TEIXEIRA
FÁBIO FARIA;5310349;23119;RN=PSD;141428;FÁBIO FARIA
FABIO GARCIA;5310459;23403;MT=PSB;178905;FABIO GARCIA
FÁBIO MITIDIERI;5310569;23177;SE=PSD;178969;FÁBIO MITIDIERI
FÁBIO RAMALHO;5310552;23238;MG=PMDB;141427;FÁBIO RAMALHO
FABIO REIS;5310680;23178;SE=PMDB;171623;FABIO REIS
FÁBIO SOUSA;5310415;23426;GO=PSDB;178877;FÁBIO SOUSA
FAUSTO PINATO;5310338;23355;SP=PP;66828;FAUSTO PINATO
FELIPE BORNIER;5310600;23301;RJ=PROS;141430;FELIPE BORNIER
FELIPE MAIA;5310330;23120;RN=DEM;141429;FELIPE MAIA
FÉLIX MENDONÇA JÚNIOR;5310443;23195;BA=PDT;160666;FÉLIX MENDONÇA JÚNIOR
FERNANDO COELHO FILHO;5310678;23158;PE=PSB;141431;FERNANDO COELHO FILHO
FERNANDO FRANCISCHINI;5310383;23450;PR=SD;160646;FERNANDO FRANCISCHINI
FERNANDO JORDÃO;5310642;23310;RJ=PMDB;163831;FERNANDO JORDÃO
FERNANDO TORRES;5310806;23523;BA=PSD;160676;FERNANDO TORRES
FLÁVIA MORAIS;5310778;23422;GO=PDT;160598;FLÁVIA MORAIS
FLAVIANO MELO;5310742;2354;AC=PMDB;141434;FLAVIANO MELO
